date,logEntry
"6 July 2025","Added the wreck of the <a href="https://www.buchandivers.com/wrecks/martha">Martha</a>  (known as the Grass Wreck) to the site.  We are increasing the area which our site covers down beyond Stonehaven.  While strictly outside of our traditional area of operations, there are some interesting wrecks with great stories south of Aberdeen and we think they would benefit from thorough identification and documentation on our site."
"25 June 2025","We visited a very promising mark today.  We really thought, finally, this would be the wreck of the SS Malmland.  Unfortunately, it turned out to be a pile of massive boulders lying on the seabed.  We have named it "Rachael's Reef" in honour of Rachael who had her first dive with us today."
"24 June 2025","We visited the wreck previously identified as the Bel Lily for the first time in 26 years. We found a steam trawler, upright and largely intact. A maker's plate identified her as Hall Russell-built in Aberdeen. Based on the dive video, her layout and damage suggest she is almost certainly the Strathclunie, which sank in a collision in January 1928. All crew members were rescued."
"15 June 2025","In 2012, we found and dived what we believed were the remains of three distinct wrecks spread out over 100m running due north/south. Having reviewed the footage taken on that dive, we have now identified that she is in fact a single, but badly damaged wreck. Given the extent of the damage and the wreck's proximity to the minefield laid by UC 49, we believe she is the <a href="https://www.buchandivers.com/wrecks/bel-lily">Bel Lily</a>. The wreck we had identified in 1999 as the Bel Lily, further to the north east has been set to 'Unknown' until we get a chance to revisit and identify her."
"12 June 2025","More desktop digging. The wreck which we had previously identified as the steam dredger Subworker is actually the dredger TIC No. 8. A review of the positional information plus the distinctive stanchions seen during the dive give us a certain identification. She was lost on her maiden voyage to Newcastle with all 5 crew while under tow in 1911. See the new page <a href="https://www.buchandivers.com/wrecks/tic-no-8">here</a>"
"6 May 2025","More research of WW2 U-boat logs has finally given us a name for the Knock Wreck just off Fraserburgh. She is the Swedish vessel <a href="https://www.buchandivers.com/wrecks/svarton">Svarton</a> sunk by the U-58 in January 1940."
"5 May 2025","After more research we now believe the wreck which we had identified as the Ethel Gwendoline is in fact the Parkhill. It is likely that the Ethel Gwendoline is in deep water about 6 miles east of Rattray Head. We have added the <a href="https://www.buchandivers.com/wrecks/parkhill">Parkhill</a> to the website."
"4 May 2025","Added the unknown trawler, which we discovered in 2023, to the website. We will need more work to confirm its identity but we believe she is the <a href="https://www.buchandivers.com/wrecks/caersin">Caersin.</a>"
"30 April 2025","After an almost two year break, we returned to exploration this year and visited a new mark just off Aberdeen near to the two HM Trawlers found in 2023. We believe this wreck to be the steam trawler <a href="https://www.buchandivers.com/wrecks/virgilia">Virgilia</a>."
"12 August 2024","Visited the wreck which we sounded in April 2021. The divers were from a Plymouth based group - Gasperadoes - who are experienced in diving to over 100m. Pictures and video from the dive allow us to positively confirmed her to be the wreck of the <a href="https://www.buchandivers.com/wrecks/u-77">U 77</a>."
"11 August 2024","Jim was lucky enough to be involved with the group who have found and dived the battlecruiser HMS Hawke, 85 miles east of Fraserburgh."
"22 June 2023","Returned to the SS Bretagne again today, armed with a list of activities to determine if she is, in fact, the SS Malmland. It seems though, our original identification is correct! She is the Bretagne. The hunt for the Malmland continues."
"26 June 2023","Dived a new mark today, off the mouth of the Ythan. Only in 40m, and very silty. We had believed this to be a WWI loss, an admiralty water tanker, but it turned out to be a reasonably well preserved steam trawler. We have work to do to identify it. A lovely dive though."
"24 June 2023","Dived the wreck of the <a href="https://www.buchandivers.com/wrecks/bretagne">SS Bretagne</a> today to attempt further identification. One huge boiler seen, but close to the bow and next to a massive boiler cradle, perhaps for another boiler - which would put our original identification into question. We will revisit for more investigation tomorrow."
"31 May 2023","We couldn't dive our intended target today so selected to return to <a href="https://www.buchandivers.com/wrecks/ormonde">HMT Ormonde</a> to try to get a more positive ID. The webpage will be updated with new photographs and dive information."
"30 May 2023","We visited the site of the Ethel Gwendoline today. A more detailed sonar survey of the wreck had indicated a 2nd hull beside the first one. We were unable to find any trace of a 2nd hull, but we found information which means we need to go back to the drawing board on the identification of the wreck. She can't be the Ethel Gwendoline."
"27 May 2023","A further work-up day, we visited the <a href="https://www.buchandivers.com/wrecks/st-magnus">St Magnus</a>. In lovely vis, we were able to get a good look at her and discovered a possible further clue to her demise. Look out for updates to her website entry."
"26 May 2023","Our season started yesterday with a work up dive on the <a href="https://www.buchandivers.com/wrecks/wrangler">SS Wrangler</a> to get back in practice. All went well and we spotted a very interesting mark, looking like a small puffer or steam fishing vessel which we returned to explore today. It turned out to be a perfectly shaped granite reef!"
"9 August 2022","Another super dive today in great conditions. We set out to dive the southerly mark of the "New Triangle" wrecks and found the HMT Robert Bowen, lost 9/2/1940 with all hands during the action which sank the HMT Fort Royal"
"8 August 2022","After a few days off due to boat problems we hit the seas again in perfect conditions. We dived the wreck known as the 33-Fathom to do more work to identify her. It is pretty certain from her cargo, size, general arrangement and cylinder diameters that she is the SS Dungonnell lost without trace on a voyage from Shields to Belfast in 1903."
