Name,Nationality,Type,Build Date,Tonnage,Date of Loss,Cause of Loss,Depth,Lat,Long,Thumbnail,WotD Comment,
Aberdeenshire,British,Trawler,1900,213,21-Oct-1910,Ran aground,12 in 14m,57 27.722N,01 46.718W,Aberdeenshire.jpg,"This Aberdeen registered fishing trawler ran aground in heavy weather one mile south of Boddam, all 9 crew were rescued by breeches buoy. She now lies, badly broken up, in about 14m of water.",
Adventure,British,Trawler,1906,184,06-Jan-1922,Mined,68 in 71m,57 24.097N,01 37.318W,Adventure.jpg,"This Peterhead registered trawler struck a leftover WW1 mine which exploded midships and sank the vessel. All her crew got off safely into another trawler. She now lies at a depth of 71m."",
Anvers,Belgian,Cargo,1908,4398,13-Nov-1940,Aircraft,43 in 52m,57 41.256N,01 47.794W,Anvers.jpg,"A Belgian registered cargo ship carying scrap steel and bound for Methil, Fife. She was bombed by German aircraft with the loss of 20 of her crew. She now lies in 52m of water.",
Astronomer,British,Cargo,1917,8401,02-Jun-1940,U-boat,56 in 67m,58 01.818N,02 02.735W,Astronomer.jpg,"A Liverpool registered cargo ship, she was carying boom equipment for use at the naval base in Scapa Flow, Orkney. She was sunk by torpedoes from the U 58 with the loss of 5 of her crew, she now lies in 67m.",
Atland,Swedish,Cargo,1910,5203,25-Mar-1943,Collision,54 in 64m,57 28.777N,01 38.244W,Atland.jpg,"A Swedish registered cargo vessel of a unique ""Turret"" design. She was carying iron ore, bound for Methil in Fife, when she collided with another ship in her convoy and sank with the loss of 19 of her crew. She now lies in 64m.",
Bel Lily,British,Trawler,1899,168,14-May-1917,Mined,42 in 44m,57 31.079N,01 44.658W,Bel Lily.jpg,"A Grimsby registered trawler which hit a mine laid by UC 49 while fishing off Peterhead. All 10 of her crew were lost in the sinking. She now lies in 44m.",
Benington,British,Trawler,1890,131,07-May-1915,U-boat,77 in 81m,57 21.048N,01 39.532W,Benington.jpg,"An Aberdeen registered trawler, she was engaged in fishing off Peterhead when she was stopped by the U 39.  All of her crew were ordered to leave and the Benington was then sunk by gunfire.  The crew were picked up and saved by a Norwegian cargo ship.",
Bretagne,Danish,Cargo,1912,1100,17-Apr-1917,U-boat,57 in 61m,57 41.493N,01 43.365W,Bretagne.jpg,"Registered in Copenhagen, she was carying a cargo of coal from North Sheilds to Copenhagen when she was attacked by the U 45 and sunk by gunfire and torpedo. All of the crew were rescued. She now lies in 61m.",
Caersin,British,Trawler,1892,128,28-Nov-1926,Collision,36 in 40m,57 16.614N,01 54.121W,Caersin.jpg,"A german built trawler, she was taken as a prize ship by HMS Penelope in WWI and used by the admiralty for war duties. She was sold and returned to trawling service after the war but sank while under tow after a collision. She now lies in 40m",
Cairnavon,British,Cargo,1920,5030,01-Nov-1925,Ran aground,15 in 18m,57 27.564N,01 47.105W,Cairnavon.jpg,"She ran aground in dense fog while en route from Leith to Montreal with a general cargo, including coal, coke, rags and manganese. All passengers and crew were rescued. She now lies in 18m.",
Cairnmona,British,Cargo,1918,4666,30-Oct-1939,U-boat,44 in 51m,57 37.769N,01 43.791W,Cairnmona.jpg,"Registered in Newcastle-upon-Tyne and a member of the Cairn line, she held a cargo of wool, gain, copper and zinc bound from Montreal to Leith when she was sunk by a torpedo from the U-13. Three of the crew were lost. She now lies in 51m.",
